sample_no,printer_type,material,layer_thickness_mm,infill_density_pct,infill_pattern,speed_mm_s,roughness_avg_um,hardness_avg,peak_load_n,peak_stress_kpa,strain_at_break,modulus_mpa,width_mm,thickness_mm,roughness_valid
259,closed,TPU,0.1,50,triangles,70,1.7906666666666666,17.6,266.9026666666667,12482.16666666667,2.197666666666667,38.755,5.946666666666666,3.6,True
260,closed,TPU,0.1,50,zigzag,30,2.5860000000000003,18.3,327.7613333333333,15350.43333333333,2.573666666666667,28.79,5.98,3.57,True
261,closed,TPU,0.1,80,grid,70,3.3240000000000003,23.9,294.0296666666666,12698.73333333333,2.278333333333333,36.92633333333333,6.296666666666667,3.676666666666667,True
262,closed,TPU,0.1,80,triangles,30,3.5306666666666664,24.6,304.113,13369.0,2.137333333333333,41.72066666666667,6.196666666666666,3.67,True
263,closed,TPU,0.1,80,zigzag,50,2.474,28.0,459.321,20126.5,2.897,33.03433333333333,6.23,3.663333333333334,True
264,closed,TPU,0.2,20,grid,50,0.0,17.9,396.8826666666667,17626.1,3.087666666666667,21.00566666666667,6.146666666666666,3.663333333333334,False
265,closed,TPU,0.2,20,triangles,70,3.4879999999999995,17.6,363.2423333333333,16676.83333333333,2.729000000000001,27.80066666666667,6.006666666666667,3.626666666666666,True
266,closed,TPU,0.2,20,zigzag,30,3.3833333333333333,19.9,606.2869999999999,28261.76666666667,4.178666666666667,22.07766666666667,6.196666666666666,3.463333333333333,True
267,closed,TPU,0.2,50,grid,70,3.6773333333333333,29.3,631.1126666666667,30543.33333333333,3.933,23.846,6.083333333333333,3.396666666666667,True
268,closed,TPU,0.2,50,triangles,30,1.6726666666666665,27.2,638.625,30897.73333333333,4.0,23.87733333333334,6.02,3.433333333333334,True
269,closed,TPU,0.2,50,zigzag,50,2.41,27.4,553.9896666666667,27244.03333333334,3.536666666666667,44.71733333333333,5.966666666666666,3.41,True
270,closed,TPU,0.2,80,grid,30,10.972666666666667,35.3,630.6096666666667,29904.7,3.419666666666667,44.52266666666666,6.056666666666668,3.483333333333333,True
271,closed,TPU,0.2,80,triangles,50,4.999333333333333,34.6,582.2420000000001,27489.06666666667,3.063,44.75066666666667,6.056666666666668,3.5,True
272,closed,TPU,0.2,80,zigzag,70,3.840666666666667,28.0,626.9253333333332,29905.03333333334,3.801333333333333,19.60533333333333,6.09,3.443333333333333,True
273,closed,TPU,0.3,20,grid,70,3.346,20.7,480.5543333333333,21764.4,3.705666666666666,23.08833333333333,6.236666666666667,3.54,True
274,closed,TPU,0.3,20,triangles,30,3.029666666666667,23.7,527.5063333333334,23972.0,3.596666666666666,24.76433333333334,6.169999999999999,3.566666666666666,True
275,closed,TPU,0.3,20,zigzag,50,0.0,16.8,365.7576666666667,16462.0,3.151,33.15533333333333,6.166666666666667,3.603333333333333,False
